sat, iode, iodc, sva, svh, week, code, flag,toe1, toe2, toc1, toc2, ttr1, ttr2, A, e, i0, OMG0, omg, M0, deln, OMGd, idot, crc, crs, cuc, cus, cic, cis, toes, fit, f0, f1, f2
2,4,4,0,0,2048,1,0,1554991184,0.000000,1554991184,0.000000,1554985626,0.000000,26560559.115443,0.018905,0.954090,-2.171731,-1.750425,2.980575,0.000000,-0.000000,0.000000,201.687500,-95.062500,-0.000005,0.000009,0.000000,-0.000000,395984.000000,4.000000,-0.000186,-0.000000,0.000000
29,62,62,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985626,0.000000,26561361.181600,0.000911,0.985729,-3.092175,1.589871,-0.729096,0.000000,-0.000000,-0.000000,317.843750,-43.593750,-0.000002,0.000004,-0.000000,0.000000,396000.000000,4.000000,0.000228,-0.000000,0.000000
31,25,25,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985626,0.000000,26559543.166635,0.009206,0.960421,1.060946,0.000640,1.693873,0.000000,-0.000000,-0.000000,188.000000,48.625000,0.000003,0.000010,-0.000000,0.000000,396000.000000,4.000000,0.000046,-0.000000,0.000000
72,4,4,107,0,2048,1,0,1554981600,0.000000,1554981600,0.000000,1554985639,0.000000,29600280.845763,0.000366,0.986499,-2.478094,-0.869965,2.217922,0.000000,-0.000000,-0.000000,179.093750,-145.093750,-0.000007,0.000008,-0.000000,0.000000,386400.000000,0.000000,0.000385,0.000000,0.000000
72,4,4,107,0,2048,1,0,1554981600,0.000000,1554981600,0.000000,1554985639,0.000000,29600280.845763,0.000366,0.986499,-2.478094,-0.869965,2.217922,0.000000,-0.000000,-0.000000,179.093750,-145.093750,-0.000007,0.000008,-0.000000,0.000000,386400.000000,0.000000,0.000385,0.000000,0.000000
72,4,4,107,0,2048,1,0,1554981600,0.000000,1554981600,0.000000,1554985639,0.000000,29600280.845763,0.000366,0.986499,-2.478094,-0.869965,2.217922,0.000000,-0.000000,-0.000000,179.093750,-145.093750,-0.000007,0.000008,-0.000000,0.000000,386400.000000,0.000000,0.000385,0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985639,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
68,8,8,107,0,2048,1,0,1554984000,0.000000,1554984000,0.000000,1554985639,0.000000,29600199.509735,0.000375,0.959116,-0.375222,-0.814218,-2.789547,0.000000,-0.000000,0.000000,190.750000,-2.406250,-0.000000,0.000007,-0.000000,-0.000000,388800.000000,0.000000,0.006473,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985639,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
72,4,4,107,0,2048,1,0,1554981600,0.000000,1554981600,0.000000,1554985639,0.000000,29600280.845763,0.000366,0.986499,-2.478094,-0.869965,2.217922,0.000000,-0.000000,-0.000000,179.093750,-145.093750,-0.000007,0.000008,-0.000000,0.000000,386400.000000,0.000000,0.000385,0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985639,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985639,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985647,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985647,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
68,8,8,107,0,2048,1,0,1554984000,0.000000,1554984000,0.000000,1554985647,0.000000,29600199.509735,0.000375,0.959116,-0.375222,-0.814218,-2.789547,0.000000,-0.000000,0.000000,190.750000,-2.406250,-0.000000,0.000007,-0.000000,-0.000000,388800.000000,0.000000,0.006473,-0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985647,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985647,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985649,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985649,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
68,8,8,107,0,2048,1,0,1554984000,0.000000,1554984000,0.000000,1554985649,0.000000,29600199.509735,0.000375,0.959116,-0.375222,-0.814218,-2.789547,0.000000,-0.000000,0.000000,190.750000,-2.406250,-0.000000,0.000007,-0.000000,-0.000000,388800.000000,0.000000,0.006473,-0.000000,0.000000
72,4,4,107,0,2048,1,0,1554981600,0.000000,1554981600,0.000000,1554985649,0.000000,29600280.845763,0.000366,0.986499,-2.478094,-0.869965,2.217922,0.000000,-0.000000,-0.000000,179.093750,-145.093750,-0.000007,0.000008,-0.000000,0.000000,386400.000000,0.000000,0.000385,0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985649,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985649,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
12,27,27,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985656,0.000000,26560307.647774,0.007632,0.983133,2.146688,1.062619,1.327116,0.000000,-0.000000,-0.000000,280.843750,87.906250,0.000004,0.000006,-0.000000,-0.000000,396000.000000,4.000000,0.000252,-0.000000,0.000000
25,37,37,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985656,0.000000,26560980.111670,0.008416,0.970564,2.082919,0.883378,0.995981,0.000000,-0.000000,-0.000000,264.906250,87.281250,0.000005,0.000006,-0.000000,0.000000,396000.000000,4.000000,-0.000744,-0.000000,0.000000
6,54,54,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985656,0.000000,26559250.694466,0.001617,0.974608,-2.112227,-1.115866,2.877445,0.000000,-0.000000,0.000000,208.031250,-82.218750,-0.000004,0.000009,-0.000000,-0.000000,396000.000000,4.000000,0.000233,-0.000000,0.000000
24,21,21,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985656,0.000000,26560872.886481,0.008259,0.939062,0.981891,0.607462,2.962578,0.000000,-0.000000,-0.000000,180.531250,54.343750,0.000003,0.000010,-0.000000,-0.000000,396000.000000,4.000000,-0.000065,-0.000000,0.000000
32,7,7,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985656,0.000000,26559282.424581,0.002897,0.957161,-0.022416,-2.537387,-0.780057,0.000000,-0.000000,-0.000000,236.062500,0.718750,0.000000,0.000007,0.000000,0.000000,396000.000000,4.000000,-0.000138,0.000000,0.000000
14,8,8,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985656,0.000000,26560427.670307,0.010435,0.960958,0.063498,-1.945131,-1.661185,0.000000,-0.000000,-0.000000,236.250000,3.906250,0.000000,0.000007,0.000000,0.000000,396000.000000,4.000000,-0.000085,0.000000,0.000000
19,30,30,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985656,0.000000,26559920.274688,0.009504,0.982085,-3.056919,1.372202,1.329003,0.000000,-0.000000,-0.000000,303.156250,-59.687500,-0.000003,0.000005,-0.000000,-0.000000,396000.000000,4.000000,-0.000332,0.000000,0.000000
2,4,4,0,0,2048,1,0,1554991184,0.000000,1554991184,0.000000,1554985656,0.000000,26560559.115443,0.018905,0.954090,-2.171731,-1.750425,2.980575,0.000000,-0.000000,0.000000,201.687500,-95.062500,-0.000005,0.000009,0.000000,-0.000000,395984.000000,4.000000,-0.000186,-0.000000,0.000000
31,25,25,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985656,0.000000,26559543.166635,0.009206,0.960421,1.060946,0.000640,1.693873,0.000000,-0.000000,-0.000000,188.000000,48.625000,0.000003,0.000010,-0.000000,0.000000,396000.000000,4.000000,0.000046,-0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985669,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
68,8,8,107,0,2048,1,0,1554984000,0.000000,1554984000,0.000000,1554985649,0.000000,29600199.509735,0.000375,0.959116,-0.375222,-0.814218,-2.789547,0.000000,-0.000000,0.000000,190.750000,-2.406250,-0.000000,0.000007,-0.000000,-0.000000,388800.000000,0.000000,0.006473,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985669,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985669,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985669,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985677,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985677,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985677,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985677,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985679,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985679,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985679,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985679,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
68,8,8,107,0,2048,1,0,1554984000,0.000000,1554984000,0.000000,1554985649,0.000000,29600199.509735,0.000375,0.959116,-0.375222,-0.814218,-2.789547,0.000000,-0.000000,0.000000,190.750000,-2.406250,-0.000000,0.000007,-0.000000,-0.000000,388800.000000,0.000000,0.006473,-0.000000,0.000000
12,27,27,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26560307.647774,0.007632,0.983133,2.146688,1.062619,1.327116,0.000000,-0.000000,-0.000000,280.843750,87.906250,0.000004,0.000006,-0.000000,-0.000000,396000.000000,4.000000,0.000252,-0.000000,0.000000
25,37,37,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26560980.111670,0.008416,0.970564,2.082919,0.883378,0.995981,0.000000,-0.000000,-0.000000,264.906250,87.281250,0.000005,0.000006,-0.000000,0.000000,396000.000000,4.000000,-0.000744,-0.000000,0.000000
6,54,54,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26559250.694466,0.001617,0.974608,-2.112227,-1.115866,2.877445,0.000000,-0.000000,0.000000,208.031250,-82.218750,-0.000004,0.000009,-0.000000,-0.000000,396000.000000,4.000000,0.000233,-0.000000,0.000000
24,21,21,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26560872.886481,0.008259,0.939062,0.981891,0.607462,2.962578,0.000000,-0.000000,-0.000000,180.531250,54.343750,0.000003,0.000010,-0.000000,-0.000000,396000.000000,4.000000,-0.000065,-0.000000,0.000000
32,7,7,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26559282.424581,0.002897,0.957161,-0.022416,-2.537387,-0.780057,0.000000,-0.000000,-0.000000,236.062500,0.718750,0.000000,0.000007,0.000000,0.000000,396000.000000,4.000000,-0.000138,0.000000,0.000000
14,8,8,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26560427.670307,0.010435,0.960958,0.063498,-1.945131,-1.661185,0.000000,-0.000000,-0.000000,236.250000,3.906250,0.000000,0.000007,0.000000,0.000000,396000.000000,4.000000,-0.000085,0.000000,0.000000
19,30,30,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26559920.274688,0.009504,0.982085,-3.056919,1.372202,1.329003,0.000000,-0.000000,-0.000000,303.156250,-59.687500,-0.000003,0.000005,-0.000000,-0.000000,396000.000000,4.000000,-0.000332,0.000000,0.000000
2,4,4,0,0,2048,1,0,1554991184,0.000000,1554991184,0.000000,1554985686,0.000000,26560559.115443,0.018905,0.954090,-2.171731,-1.750425,2.980575,0.000000,-0.000000,0.000000,201.687500,-95.062500,-0.000005,0.000009,0.000000,-0.000000,395984.000000,4.000000,-0.000186,-0.000000,0.000000
29,62,62,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26561361.181600,0.000911,0.985729,-3.092175,1.589871,-0.729096,0.000000,-0.000000,-0.000000,317.843750,-43.593750,-0.000002,0.000004,-0.000000,0.000000,396000.000000,4.000000,0.000228,-0.000000,0.000000
31,25,25,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985686,0.000000,26559543.166635,0.009206,0.960421,1.060946,0.000640,1.693873,0.000000,-0.000000,-0.000000,188.000000,48.625000,0.000003,0.000010,-0.000000,0.000000,396000.000000,4.000000,0.000046,-0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985699,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985699,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985699,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985699,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985707,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985707,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985707,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985707,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
60,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985709,0.000000,29600293.256833,0.000174,0.988178,1.726189,1.550244,0.682905,0.000000,-0.000000,-0.000000,172.687500,166.593750,0.000008,0.000008,-0.000000,-0.000000,389400.000000,0.000000,-0.000581,-0.000000,0.000000
85,2,2,107,0,2048,1,0,1554980400,0.000000,1554980400,0.000000,1554985709,0.000000,29600289.562567,0.000250,0.979613,-2.469607,-1.217546,1.631160,0.000000,-0.000000,0.000000,196.250000,-160.718750,-0.000007,0.000007,0.000000,0.000000,385200.000000,0.000000,0.004695,-0.000000,0.000000
83,9,9,107,0,2048,1,0,1554984600,0.000000,1554984600,0.000000,1554985709,0.000000,29600261.440500,0.000581,0.985742,1.729496,0.938194,-0.279071,0.000000,-0.000000,-0.000000,185.531250,122.062500,0.000006,0.000008,0.000000,-0.000000,389400.000000,0.000000,0.006138,-0.000000,0.000000
64,3,3,107,0,2048,1,0,1554981000,0.000000,1554981000,0.000000,1554985709,0.000000,29600209.118961,0.000165,0.953122,-0.366998,-1.515282,3.040223,0.000000,-0.000000,0.000000,190.562500,-5.593750,-0.000000,0.000007,0.000000,0.000000,385800.000000,0.000000,0.000076,-0.000000,0.000000
12,27,27,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985716,0.000000,26560307.647774,0.007632,0.983133,2.146688,1.062619,1.327116,0.000000,-0.000000,-0.000000,280.843750,87.906250,0.000004,0.000006,-0.000000,-0.000000,396000.000000,4.000000,0.000252,-0.000000,0.000000
25,37,37,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985716,0.000000,26560980.111670,0.008416,0.970564,2.082919,0.883378,0.995981,0.000000,-0.000000,-0.000000,264.906250,87.281250,0.000005,0.000006,-0.000000,0.000000,396000.000000,4.000000,-0.000744,-0.000000,0.000000
6,54,54,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985716,0.000000,26559250.694466,0.001617,0.974608,-2.112227,-1.115866,2.877445,0.000000,-0.000000,0.000000,208.031250,-82.218750,-0.000004,0.000009,-0.000000,-0.000000,396000.000000,4.000000,0.000233,-0.000000,0.000000
24,21,21,0,0,2048,1,0,1554991200,0.000000,1554991200,0.000000,1554985716,0.000000,26560872.886481,0.008259,0.939062,0.981891,0.607462,2.962578,0.000000,-0.000000,-0.000000,180.531250,54.343750,0.000003,0.000010,-0.000000,-0.000000,396000.000000,4.000000,-0.000065,-0.000000,0.000000
